"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MARCH1",3.92315030832067e-16,0.44575040427533,0.343,0.052,4.73485010711222e-12,"4","MARCH1"
"PACSIN1",4.53257937521776e-16,0.520838261493538,0.493,0.112,5.47037004795031e-12,"4","PACSIN1"
"FAT3",4.88933496934658e-16,0.528149906362053,0.463,0.097,5.90093837450439e-12,"4","FAT3"
"DOCK8",6.25928956937307e-16,0.401488155822069,0.284,0.034,7.55433658127636e-12,"4","DOCK8"
"TULP11",6.78839311007028e-16,0.871825887590173,0.761,0.266,8.19291164454382e-12,"4","TULP1"
"CDHR11",8.11994859873958e-16,1.11137390007031,0.851,0.511,9.79996596381879e-12,"4","CDHR1"
"NCOR21",8.32951621325129e-16,0.807545068981285,0.985,0.962,1.0052893117773e-11,"4","NCOR2"
"EPB41L2",9.34824983967605e-16,1.23990727851249,0.925,0.647,1.1282402731505e-11,"4","EPB41L2"
"PTPRF1",9.53452992247312e-16,0.851569141458234,0.97,0.935,1.15072241634328e-11,"4","PTPRF"
"NRCAM1",9.62973666908663e-16,0.813920625623678,0.925,0.626,1.16221291859207e-11,"4","NRCAM"
"NLK",1.18804003469065e-15,0.827497047073426,0.97,0.754,1.43384551786814e-11,"4","NLK"
"ZNF704",1.67252379883541e-15,0.796685979104478,0.821,0.372,2.01856897281445e-11,"4","ZNF704"
"MPPED2",1.73248578313891e-15,0.839110648530933,0.881,0.475,2.09093709167035e-11,"4","MPPED2"
"SLC40A1",1.7416171996745e-15,0.410173883688291,0.403,0.076,2.10195779828715e-11,"4","SLC40A1"
"EML5",2.50061101915448e-15,0.569667005882163,0.478,0.113,3.01798743901754e-11,"4","EML5"
"CCNG21",2.54542417087297e-15,0.715915121033539,0.985,0.799,3.07207243182659e-11,"4","CCNG2"
"PDE1C1",3.74960270649211e-15,0.613665564687666,0.657,0.203,4.52539550646532e-11,"4","PDE1C"
"CADM11",3.76939568714845e-15,0.840770968225442,1,0.797,4.54928365481947e-11,"4","CADM1"
"TMEM108",3.90676617658042e-15,0.414896293930694,0.388,0.072,4.71507609851491e-11,"4","TMEM108"
"RABEPK",4.19707550783994e-15,0.433619479459833,0.493,0.117,5.06545043041202e-11,"4","RABEPK"
"FBXO311",4.25291447042792e-15,1.00300333281517,0.701,0.282,5.13284247435946e-11,"4","FBXO31"
"ANKRD53",4.55929963210968e-15,0.270243622543817,0.254,0.027,5.50261872599317e-11,"4","ANKRD53"
"ATP1B21",4.73351028213963e-15,0.787746126412246,0.97,0.79,5.71287355951432e-11,"4","ATP1B2"
"IRX6",5.07764005889007e-15,0.391486309885497,0.343,0.056,6.12820378707442e-11,"4","IRX6"
"TCTEX1D2",5.85463263588078e-15,0.751455097794225,0.806,0.372,7.06595612824452e-11,"4","TCTEX1D2"
"PLD4",7.02339162611987e-15,0.381916158434726,0.343,0.056,8.47653135356408e-11,"4","PLD4"
"FSTL5",9.98672271392214e-15,0.690566049762232,0.597,0.187,1.20529756434326e-10,"4","FSTL5"
"FMN11",1.05698044415865e-14,0.644459696628904,0.612,0.183,1.27566969805507e-10,"4","FMN1"
"TDRD7",1.33530751828353e-14,0.495110850279603,0.448,0.103,1.6115826438164e-10,"4","TDRD7"
"LNP1",1.43839488392616e-14,0.287317135902758,0.254,0.029,1.73599878541048e-10,"4","LNP1"
"DPP10",1.57769705485339e-14,0.573071618236635,0.597,0.176,1.90412257550256e-10,"4","DPP10"
"TMEM132B",1.66922552767294e-14,0.405316910112912,0.313,0.049,2.01458828934847e-10,"4","TMEM132B"
"GRHL1",1.67883932414918e-14,0.365889668042183,0.299,0.043,2.02619118031565e-10,"4","GRHL1"
"MCM2",1.76948252428501e-14,0.714580937514861,0.687,0.248,2.13558845855957e-10,"4","MCM2"
"VAX2",2.01469182695665e-14,0.309416792769971,0.313,0.047,2.43153156595398e-10,"4","VAX2"
"MTMR10",2.0356887401529e-14,0.66818803203041,0.716,0.277,2.45687274049054e-10,"4","MTMR10"
"PDE3B",2.05212348733169e-14,0.260293962136212,0.254,0.029,2.47670783686061e-10,"4","PDE3B"
"WDR31",2.14539831007567e-14,0.404837211009277,0.388,0.076,2.58928122043033e-10,"4","WDR31"
"PRKACB",2.14926587698373e-14,0.706613379972195,0.687,0.259,2.59394898693166e-10,"4","PRKACB"
"KBTBD3",2.20358483968138e-14,0.340399646422663,0.358,0.063,2.65950654301146e-10,"4","KBTBD3"
